epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,630.183,0.30038,0.95082,1,0.21355,0.000548258,0.000548258,0.000548258
2,1230.38,0.16157,0.95902,1,0.16858,0.00104928,0.00104928,0.00104928
3,1781.27,0.19607,0.92623,1,0.34222,0.00149529,0.00149529,0.00149529
4,2311.28,0.23773,0.88525,1,0.61961,0.00141945,0.00141945,0.00141945
5,2935.7,0.17872,0.88525,1,0.5392,0.00133693,0.00133693,0.00133693
6,3514.68,0.15017,0.91803,1,0.45365,0.00125442,0.00125442,0.00125442
7,4058.8,0.17736,0.90984,1,0.58058,0.0011719,0.0011719,0.0011719
8,4597.82,0.11935,0.95902,1,0.21353,0.00108938,0.00108938,0.00108938
9,5268.84,0.11085,0.94262,1,0.14111,0.00100687,0.00100687,0.00100687
10,5804.58,0.10015,0.92623,1,0.35878,0.000924352,0.000924352,0.000924352
11,6322.67,0.10516,0.89344,1,0.49818,0.000841835,0.000841835,0.000841835
12,6841.67,0.08258,0.94262,1,0.20856,0.000759318,0.000759318,0.000759318
13,7365.46,0.0622,0.94262,1,0.28351,0.000676802,0.000676802,0.000676802
14,7885.13,0.05793,0.94262,1,0.32212,0.000594286,0.000594286,0.000594286
15,8409.6,0.04172,0.95902,1,0.12777,0.000511769,0.000511769,0.000511769
16,8937.11,0.06788,0.95902,1,0.244,0.000429253,0.000429253,0.000429253
17,9467.83,0.04389,0.97541,1,0.17442,0.000346736,0.000346736,0.000346736
18,9975.25,0.04149,0.94262,1,0.27597,0.00026422,0.00026422,0.00026422
19,10488.9,0.03733,0.94262,1,0.24499,0.000181703,0.000181703,0.000181703
20,10996,0.04349,0.94262,1,0.34301,9.91865e-05,9.91865e-05,9.91865e-05
